arquivo,chaves,pos_bias,pos_mae,pos_shape,y_bias,y_mae,y_shape
multiseed_bauru_s42_Q1_spatial.npz,y;pos,-35.69416713873545,35.69416713873545,12960000x2,276.090477436729,276.090477436729,12960000
multiseed_campinas_s42_Q1_spatial.npz,y;pos,-34.98319530646006,34.98319530646006,12960000x2,280.04226520746056,280.04226520746056,12960000
multiseed_lins_s42_Q1_spatial.npz,y;pos,-35.71236133734385,35.71236133734385,12960000x2,287.3302998133898,287.3302998133898,12960000
multiseed_sorocaba_s42_Q1_spatial.npz,y;pos,-35.4769449212816,35.4769449212816,12960000x2,282.0685211170391,282.0685211170391,12960000
